Priority,Region,Model Variable,Use,Dataset,PI,NA Status,Local Folder,File Count,SeaBASS / Repository Link,Next Action,Notes
5,NA,alpha - stickiness,KEY unknown - TEP directly controls stickiness,TEP concentration upper 500 m,Uta Passow,DOWNLOADED,data/NA/passow_tep_sinking/raw,4 .sb files,https://seabass.gsfc.nasa.gov/archive/MU_NEWFOUNDLAND/passow/EXPORTS/exportsna,Parse TEP profile → use as prior for alpha range,TEP profile 0-500 m. Higher TEP = higher alpha. Also has sinking speed data for real aggregates.
5,NA,w(d) - aggregate sinking speed,Validates sinking law (kriest_8),Sinking speeds from Marine Snow Catcher (in passow folder),Uta Passow,DOWNLOADED,data/NA/passow_tep_sinking/raw,4 .sb files (same folder as TEP),https://seabass.gsfc.nasa.gov/archive/MU_NEWFOUNDLAND/passow/EXPORTS/exportsna,Parse sinking speed data from passow files,Check file headers - sinking speed and TEP may be in same or separate files.
6,NA,"Zc(z) Zf(z) - filter/flux feeder concentration",Grazing forcing depth profile,Zooplankton biomass/abundance (net tows),Deborah Steinberg / Amy Maas,CONTACT NEEDED,--- not downloaded ---,0,Not yet listed in SeaBASS,Contact PI (Amy / Debbie),MOCNESS net tows. Abundance by depth and size fraction. Not daily.
6,NA,"Zc(z) Zf(z) - acoustic",Grazing forcing continuous profile,Bio-acoustic zooplankton biomass,Amy Maas / Eric D'Asaro,CONTACT NEEDED,--- not downloaded ---,0,Not yet available,Ask PI if derived product is ready,Acoustic backscatter + biomass profiles.
6,NA,zoo_p - egestion fraction,Calibrate fecal production fraction p,Zooplankton respiration excretion egestion experiments,Amy Maas,CONTACT NEEDED,--- not downloaded ---,0,Not yet listed,Contact PI (Amy),Egestion rates per species. Constrains zoo_p.
6,NA,zoo_ic - fecal pellet bin,Validate bin 8 (~115 um) fecal bin,Fecal pellet production by species,Deborah Steinberg,NA NOT AVAILABLE,--- NP only ---,0,https://seabass.gsfc.nasa.gov/archive/VIMS/Steinberg/EXPORTS/EXPORTSNP/archive/ (NP only),Use NP as reference; contact PI for NA status,Per-species pellet size. NA data not yet available.
6,NA,"Fecal flux(z) - by type and depth",Validate Y_fp column prediction,Fecal pellet fluxes by pellet type at each depth,Deborah Steinberg,CONTACT NEEDED,--- not downloaded ---,0,- contact Steinberg,Ask Adrian then contact PI,Depth profile of fecal flux. Needed to validate Y_fp prediction.
7,NA,Zm(z) - mining zooplankton concentration,Constrain mining_Zm depth profile,Vertical profiles of protistan grazing capacity (mesopelagic),Susanne Menden-Deuer,DOWNLOADED,data/NA/protistan_grazing_menden_deuer/raw,3 .sb files,https://seabass.gsfc.nasa.gov/archive/URI/menden-deuer/EXPORTS/exportsna,Parse grazing rates → extract Zm(z),Most direct constraint for mining_Zm.
8,NA,PP(z=0) - surface production,Sets surface_pp_mu boundary condition,Net primary production rate,Adrian Marchetti,DOWNLOADED,data/NA/npp_marchetti/raw,2 .sb files,https://seabass.gsfc.nasa.gov/archive/UNC/marchetti/EXPORTS/exportsna,Parse NPP [mg C/m3/day] → surface_pp_mu,NPP rate. Use to set surface_pp_mu in model.
9,NA,"aggregation / disaggregation rates",Independent physics check on coagulation kernel,Lithogenic particle cycling,Phoebe Lam,NOT DOWNLOADED,--- not downloaded ---,0,https://www.bco-dmo.org/ (search Lam EXPORTS),Download from BCO-DMO,aggregation_rate_constant disaggregation_rate_constant sinking_rate. Rare independent check on model physics.
10,NA,O2(z) - oxygen profile,Confirms oxic conditions; context for microbial r,Oxygen from Lagrangian float,Eric D'Asaro,DOWNLOADED,data/NA/lagrangian_float/raw,7 .sb files (same as T/S float),https://seabass.gsfc.nasa.gov/archive/UWASH/dasaro/EXPORTS/exportsna,Check float files for O2 variable,Same float files as T/S. Check if O2 field is included.
10,NA,Chlorophyll(z),Surface condition and mixed layer depth,Chlorophyll from Lagrangian float,Eric D'Asaro,DOWNLOADED,data/NA/lagrangian_float/raw,7 .sb files (same as T/S float),https://seabass.gsfc.nasa.gov/archive/UWASH/dasaro/EXPORTS/exportsna,Check float files for Chl variable,Chl profile. Useful for locating mixed layer depth.
